,单词,后缀,单词释义
329,comprehension,ion 表名词， 动作或状态 分为 sion和tion两种,"n.理解,包含"
330,comprehensive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","adj.全面的,广泛的,能充分理解的,包容的"
331,compress,ess 表名词， 女性，雌性,"vt.压缩,摘要叙述;n.(外科)敷布"
332,compromise,ise 表动词后缀，和 ize 相同，是 ize 的变体， ...化,"n.妥协,折衷;v.妥协,折衷,危及...的安全"
333,compulsory,ory 表名词，指场所等,"adj.必需做的,必修的,被强迫的,被强制的,义务的"
334,conceal,al 表名词， 人，物，状态,"vt.隐藏,隐蔽,隐瞒;v.隐蔽"
335,conceive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","vt.构思,以为,持有;vi.怀孕,考虑,设想"
336,concentrate,ate 表动词， 做，造成,"v.集中,浓缩"
337,concentration,on 表名词，指人、物和一些物理学上的名词,"n.集中,集合,专心,浓缩,浓度"
338,conception,ion 表名词， 动作或状态 分为 sion和tion两种,"n.观念,概念"
339,concern,ern 表形容词， ...方向的,"vt.涉及,关系到;n.(利害)关系,关心,关注,关注,所关心的是"
340,concession,ion 表名词， 动作或状态 分为 sion和tion两种,n.让步
341,concise,ise 表动词后缀，和 ize 相同，是 ize 的变体， ...化,"adj.简明的,简练的"
342,conclusion,ion 表名词， 动作或状态 分为 sion和tion两种,"n.结束,缔结,结论"
343,condition,ition 表名词， 行为过程，状态,"n.条件,情形,环境,社会地位;vt.以...为条件,使达到要求的情况"
344,conductor,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.领导者,经理,指挥管弦乐队、合唱队的,(市内有轨电车或公共汽车)售票员,<美>列车长"
345,confer,er 表动词， 反复做,"vt.授予(称号、学位等),赠与,把...赠与,协议;v.协商,交换意见"
346,confess,ess 表名词， 女性，雌性,"v.承认,坦白,忏悔"
347,confident,ent 表形容词， ...的,"adj.自信的,确信的"
348,confidential,al 表名词， 人，物，状态,"adj.秘密的,机密的"
349,configuration,on 表名词，指人、物和一些物理学上的名词,"n.构造,结构,配置,外形"
350,conform,form 表形容词， 有...形状的,"vt.使一致,使遵守,使顺从;vi.符合,相似,适应环境;adj.一致的,顺从的"
351,confusion,ion 表名词， 动作或状态 分为 sion和tion两种,"n.混乱,混淆"
352,congratulate,ate 表动词， 做，造成,"vt.祝贺,庆贺,恭喜"
353,congratulation,on 表名词，指人、物和一些物理学上的名词,"n.祝词,贺辞"
354,conjunction,ion 表名词， 动作或状态 分为 sion和tion两种,"n.联合,关联,连接词"
355,connection,ion 表名词， 动作或状态 分为 sion和tion两种,"n.连接,关系,接线,线路,亲戚"
356,connexion,ion 表示 某种物，用品,"n.联系,连结"
357,conquer,er 表动词， 反复做,"vt.征服,战胜,占领,克服(困难等),破(坏习惯等)"
358,conscience,ence 表名词， 性质，状态,"n.良心,道德心"
359,conscientious,"ious 表形容词, ....的",adj.尽责的
360,conscious,ous 表形容词，通常放在一个完整的单词后，表示 ...的,"adj.有意识的,有知觉的,故意的,羞怯的"
361,consent,ent 表形容词， ...的,"vi.同意,赞成,答应;n.同意,赞成,允诺"
362,consequent,ent 表形容词， ...的,"adj.作为结果的,随之发生的"
363,consequently,ly 表形容词，通常加在名词后。,"adv.从而,因此"
364,conservative,ative 表形容词， 有...倾向(性质)的,"adj.保守的,守旧的;n.保守派"
365,considerable,able 表形容词， 可...的，能...,"adj.相当大(或多)的,值得考虑的,相当可观的"
366,considerate,ate 表形容词， 具有...的,adj.考虑周到的
367,consideration,ion 表名词， 动作或状态 分为 sion和tion两种,"n.体谅,考虑,需要考虑的事项,报酬"
368,consist,ist 表名词， 表示信仰者，专家或从事人,"vi.由...组成,在于,一致"
369,consistent,ent 表形容词， ...的,"adj.一致的,调和的,坚固的,[数、统]相容的"
370,consolidate,ate 表形容词， 具有...的,v.巩固
371,conspicuous,ous 表形容词，通常放在一个完整的单词后，表示 ...的,adj.显著的
372,constituent,ent 表形容词， ...的,"n.委托人,要素;adj.有选举权的；有宪法制定［修改］权的"
373,constitution,ion 表名词， 动作或状态 分为 sion和tion两种,"n.宪法,构造,体质,体格,国体,章程,惯例"
374,constrain,ain 表名词， ...人,"vt.强迫,抑制,拘束"
375,construction,ion 表名词， 动作或状态 分为 sion和tion两种,"n.建筑,建筑物,解释,造句"
376,consultant,ant 表形容词， ...的,"n.顾问,商议者,咨询者"
377,consumer,er 表动词， 反复做,n.消费者
378,container,er 表动词， 反复做,"n.容器(箱,盆,罐,壶,桶,坛子),集装箱"
379,contemplate,ate 表形容词， 具有...的,"v.凝视,沉思,预期,企图"
380,contemporary,ary 表名词， 人，场所，物,"n.同时代的人;adj.当代的,同时代的"
381,contention,ion 表名词， 动作或状态 分为 sion和tion两种,"n.争夺,争论,争辩,论点"
382,continual,al 表名词， 人，物，状态,"adj.连续的,频繁的,持续不断的"
383,continuity,ty 表名词，用在形容词后，把形容词变成名词,"n.连续性,连贯性"
384,contradiction,ion 表名词， 动作或状态 分为 sion和tion两种,"n.反驳,矛盾"
385,contrary,ary 表名词， 人，场所，物,"adj.相反的,逆的,<口语>执拗;n.反面;adv.相反地"
386,contrast,ast 表名词， ...人，物,"vt.使与...对比,使与...对照;vi.和...形成对照;n.对比,对照,(对照中的)差异"
387,contribution,ion 表名词， 动作或状态 分为 sion和tion两种,"n.捐献,贡献,投稿"
388,contrive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","v.发明,设计,图谋"
389,controversial,al 表名词， 人，物，状态,"adj.争论的,争议的"
390,controversy,y 表名词，加在形容词或以r结尾的单词后。,"n.论争,辩论,论战"
391,convenience,ence 表名词， 性质，状态,"n.便利,方便,有益,有用的,方便的用具、机械、安排等"
392,convention,ion 表名词， 动作或状态 分为 sion和tion两种,"n.大会,协定,习俗,惯例"
393,conventional,al 表名词， 人，物，状态,"adj.惯例的,常规的,习俗的,传统的"
394,conversely,ly 表形容词，通常加在名词后。,"adv.倒地,逆地"
395,convey,y 表名词，加在形容词或以r结尾的单词后。,"vt.搬运,传达,转让"
396,conviction,ion 表名词， 动作或状态 分为 sion和tion两种,"n.深信,确信,定罪,宣告有罪"
397,cooperate,ate 表形容词， 具有...的,"vi.合作,协作"
398,cooperative,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","adj.合作的,协力的"
399,coordinate,ate 表动词， 做，造成,"n.同等者,同等物,坐标(用复数);adj.同等的,并列的;vt.调整,整理"
400,copper,er 表动词， 反复做,"n.铜,警察"
401,cordial,ial 表形容词， 有...的,"n.兴奋剂,兴奋性饮料;adj.热忱的,诚恳的,兴奋的"
402,corporate,ate 表形容词， 具有...的,"adj.社团的,法人的,共同的,全体的"
403,corporation,ion 表名词， 动作或状态 分为 sion和tion两种,"n.[律]社团,法人,公司,企业,<美>有限公司,(市,镇的)自治机关,<口>大肚皮"
404,correlate,ate 表形容词， 具有...的,vt.使相互关联;vi.和...相关
405,correspondence,ence 表名词， 性质，状态,"n.相应,通信,信件"
406,correspondent,ent 表形容词， ...的,"n.通讯记者,通信者"
407,corridor,or 表名词， 人或物器 ，在一些词根前写成 ator,n.走廊
408,costly,ly 表形容词，通常加在名词后。,"adj.昂贵的,贵重的"
409,counsel,el 表名词， 人或物,"n.讨论,商议,辩护律师;vt.劝告,忠告"
410,counter,er 表动词， 反复做,"n.计算器,计数器,计算者,柜台,筹码;adv.prep.相反地"
411,county,ty 表名词，用在形容词后，把形容词变成名词,"n.县,郡"
412,courtesy,y 表名词，加在形容词或以r结尾的单词后。,"n.谦恭,允许,礼貌"
413,coverage,"age 名词后缀,表示 状态，总称",n.覆盖
414,cozy,y 表名词，加在形容词或以r结尾的单词后。,"adj.舒适的,安逸的,惬意的"
415,create,ate 表形容词， 具有...的,"vt.创造,创作,引起,造成"
416,creation,ion 表名词， 动作或状态 分为 sion和tion两种,"n.创造,创作物"
417,creative,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive",adj.创造性的
418,credible,ible 形容词 能...的,"adj.可信的,可靠的"
419,credit,it 表名词，通常是抽象名词,"n.信任,信用,声望,荣誉,[财务]贷方,银行存款;vt.相信,信任,把...归给"
420,criminal,al 表名词， 人，物，状态,"n.罪犯,犯罪者;adj.犯罪的,犯法的,罪恶的"
421,criterion,ion 表名词， 动作或状态 分为 sion和tion两种,"n.(批评判断的)标准,准据,规范"
422,critic,tic 表形容词，通常放在一个名词前， 与...相关的，...的,"n.批评家,评论家,吹毛求疵者"
423,critical,al 表名词， 人，物，状态,"adj.评论的,鉴定的,批评的,危急的,临界的"
424,criticize,ize 构成一些动词,"v.批评,责备"
425,crucial,ial 表形容词， 有...的,adj.至关紧要的
426,cruise,ise 表动词后缀，和 ize 相同，是 ize 的变体， ...化,"vi.巡游,巡航;n.巡游,巡航"
427,crystal,al 表名词， 人，物，状态,"adj.结晶状的;n.水晶,水晶饰品,结晶,晶体"
428,cucumber,er 表动词， 反复做,n.[植]黄瓜
429,culminate,ate 表形容词， 具有...的,v.达到顶点
430,cultivate,ate 表名词， 人或地位,"vt.培养,耕作"
431,cumulative,ative 表形容词， 有...倾向(性质)的,adj.累积的
432,cupboard,ard 表名词， 不好的人,"n.食橱,碗碟橱"
433,curiosity,osity 表名词，ose+ity组成，表示 多...的状态,n.好奇心
434,curious,"ious 表形容词, ....的","adj.好奇的,求知的,古怪的,爱挑剔的"
435,currency,ency 表名词，ence 的变体,n.流通
436,current,ent 表形容词， ...的,"adj.当前的,通用的,流通的,现在的,草写的,最近的;n.涌流,趋势,电流,水流,气流"
437,curtain,ain 表名词， ...人,"n.窗帘,门帘;v.装上门帘"
438,cushion,ion 表名词， 动作或状态 分为 sion和tion两种,"n.垫子,软垫,衬垫;v.加衬垫"
439,customary,ary 表名词， 人，场所，物,"adj.习惯的,惯例的"
440,cylinder,er 表动词， 反复做,"n.圆筒,圆柱体,汽缸,柱面"
441,cynical,al 表形容词， ...的,adj.愤世嫉俗的
442,dairy,y 表名词，加在形容词或以r结尾的单词后。,"n.牛奶场,奶品场,售牛奶,奶油,鸡蛋等的商店,奶制品"
443,deadline,ine 表形容词， ...的,n.最终期限
444,deadly,ly 表形容词，通常加在名词后。,"adj.致命的,势不两立的,死一般的,极度的,必定的"
445,dean,an 表名词和形容词， ...地方，...人,"n.(大学)院长,主持牧师,(基督教)教长"
446,decade,"ade 表名词, 表示 状态，物品","n.十年,十"
447,decay,y 表名词，加在形容词或以r结尾的单词后。,"vi.&n.腐朽,腐烂,衰减,衰退;v.衰落"
448,decent,ent 表形容词， ...的,"adj.正派的,端庄的,有分寸的,(服装)得体的,大方的;adj.<口>相当好的、象样的"
449,decimal,al 表名词， 人，物，状态,"adj.十进的,小数的,以十为基础的,十进制;n.小数"
450,declaration,ation 表名词， 行为，过程，结果,"n.宣布,宣言,声明"
451,decline,ine 表形容词， ...的,"vi.下倾,下降,下垂;v.拒绝,衰落;n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
452,decorate,ate 表动词， 做，造成,"v.装饰,为...做室内装修"
453,decree,ee 表名词， 被动或主动的人,"n.法令,政令,教令,天命,判决;v.颁布"
454,defendant,ant 表形容词， ...的,"n.被告;adj.辩护的,为自己辩护的"
455,deficiency,ency 表名词，ence 的变体,"n.缺乏,不足"
456,deficit,it 表名词，通常是抽象名词,"n.赤字,不足额"
457,definite,ite 表形容词， 有...的,"adj.明确的,一定的"
458,definitely,ly 表形容词，通常加在名词后。,"adv.明确地,干脆地"
459,definitive,itive 表形容词， ...的,"adj.最后的,确定的,权威性的"
460,defy,"fy 表动词, ...化，成为... ，更多时候作 ify","vt.不服从,公然反抗,藐视,挑衅,违抗,使...难于;n.挑战"
461,degrade,"ade 表名词, 表示 状态，物品","v.(使)降级,(使)堕落,(使)退化"
462,delegate,ate 表动词， 做，造成,n.代表;vt.委派...为代表
463,deliberate,ate 表形容词， 具有...的,"adj.深思熟虑的,故意的,预有准备的;v.商讨"
464,delicate,ate 表名词， 人或地位,"adj.精巧的,精致的,病弱的,脆弱的,微妙的,棘手的,灵敏的,精密的"
465,delicious,ous 表形容词，通常放在一个完整的单词后，表示 ...的,adj.美味的
466,delivery,ery 表名词， 场所，地点,"n.递送,交付,分娩,交货,引渡;n.[律]财产等的正式移交,发送,传输"
467,democracy,"acy 表名词, ...性质，状态","n.民主政治,民主主义"
468,democratic,tic 表形容词，通常放在一个名词前， 与...相关的，...的,"adj.民主的,民主主义的,民主政体的,平民的"
469,demonstrate,ate 表动词， 做，造成,"vt.示范,证明,论证;vi.示威"
470,denial,al 表名词， 人，物，状态,"n.否认,否定,谢绝,拒绝"
471,density,ity 表名词，指具备某种性质,n.密度
472,dental,al 表名词， 人，物，状态,adj.牙齿的
473,deny,y 表名词，加在形容词或以r结尾的单词后。,"v.否认,拒绝"
474,departure,ture ture在s结尾的词根后变成sure,"n.启程,出发,离开"
475,dependent,ent 表形容词， ...的,"adj.依靠的,依赖的,由...决定的,随...而定的"
476,deposit,it 表名词，通常是抽象名词,"n.堆积物,沉淀物,存款,押金,保证金,存放物;vt.存放,堆积;vi.沉淀"
477,depression,ion 表名词， 动作或状态 分为 sion和tion两种,"n.沮丧,消沉,低气压,低压"
478,deprive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","vt.剥夺,使丧失"
479,deputy,ty 表名词，用在形容词后，把形容词变成名词,"n.代理人,代表"
480,descendant,ant 表形容词， ...的,"n.子孙,后裔,后代"
481,descent,ent 表名词， ...人,"n.降下,降落,世系,血统,侵袭"
482,designate,ate 表形容词， 具有...的,"vt.指明,指出,任命,指派;v.指定,指派"
483,despair,air 表名词， 人、物,"n.绝望,失望,令人失望的人(事物);vi.绝望"
484,desperate,ate 表动词， 做，造成,"adj.不顾一切的,拚死的,令人绝望的"
485,despite,ite 表形容词， 有...的,"prep.不管,尽管,不论"
486,destination,ation 表名词， 行为，过程，结果,"n.目的地,[计]目的文件,目的单元格"
487,destiny,y 表名词，加在形容词或以r结尾的单词后。,"n.命运,定数"
488,destructive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive",adj.破坏(性)的
489,detain,ain 表名词， ...人,"v.拘留,留住,阻止"
490,detection,ion 表名词， 动作或状态 分为 sion和tion两种,"n.察觉,发觉,侦查,探测,发现"
491,detective,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive",n.侦探;adj.侦探的
